instruct_text,this_pic,rolePic,job,instruct_text2,Q1,Q2,Q3,Q4,D1,D2,roleName,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,loop3.thisRepN,loop3.thisTrialN,loop3.thisN,loop3.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,key_resp_8.keys,key_resp_8.rt,key_resp_2.keys,key_resp_2.rt,key_resp_6.keys,key_resp_6.rt,key_resp_14.keys,key_resp_14.rt,key_resp_10.keys,key_resp_10.rt,key_resp_11.keys,key_resp_11.rt,key_resp_12.keys,key_resp_12.rt,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,participant,session,date,expName,frameRate,
Welcome to the Job Simulator Task!,instructions_photos/pixel.png,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,space,0.38869640399934724,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
"In this task, you’ll first be introduced to the perspectives of 8 different jobs. ",instructions_photos/i1.png,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,space,0.0002795649998006411,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
You’ll then learn 4 questions associated with each perspective. ,instructions_photos/i2.png,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,space,0.06828450600005453,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
"Subsequently, you will be asked to apply those perspectives and questions to 8 stories.",instructions_photos/i3.png,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,space,0.06857231100002537,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
"For each story you read, you will be asked to assume one of the perspectives. ",instructions_photos/i3.png,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,space,0.06707668200033368,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
"While reading, try to remember the perspective and the questions of that perspective. ",instructions_photos/i3.png,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,space,0.036507574001007015,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
"After you’re finished reading all the stories, you will be asked to recall the stories and answer questions about them. ",instructions_photos/i4.png,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,space,0.1518919830014056,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
Let’s begin! The 8 perspectives are as follows:,None,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,space,0.13411743700271472,,,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
,,jobphotos/weddingplanner.jpg,Wedding Planner,,,,,,,,,,,,,0,0,0,3,,,,,,,,,,,,,,,space,0.10393123199901311,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
,,jobphotos/business_reporter.jpg,Business Reporter,,,,,,,,,,,,,0,1,1,0,,,,,,,,,,,,,,,space,0.15170793400102411,,,,,,,,,,,,,,,',001,2019_Feb_12_1244,part1_subjective_segmentation,59.99241599862655,
